Sampling_date;Transmitted 350 - 920nm;Depth
2019-10-06;0.145699248;2
2019-10-07;0.111330284;2
2020-03-13;0.027487456;2
2020-03-14;0.037979898;2
2020-03-15;0.042013787;2
2020-03-16;0.055606823;2
2020-03-17;0.099962348;2
2020-03-18;0.122178309;2
2020-03-19;0.120520989;2
2020-03-20;0.15398504;2
2020-03-21;0.180852578;2
2020-03-22;0.167651209;2
2020-03-23;0.194864647;2
2020-03-24;0.203778857;2
2020-03-25;0.225515808;2
2020-03-26;0.302010978;2
2020-03-27;0.315629855;2
2020-03-28;0.294384682;2
2020-03-29;0.369766976;2
2020-03-30;0.434386191;2
2020-03-31;0.440257149;2
2020-04-01;0.221605762;2
2020-04-02;0.248400978;2
2020-04-03;0.187172632;2
2020-04-04;0.188215202;2
2020-04-05;0.204614487;2
2020-04-06;0.205742903;2
2020-04-07;0.214218022;2
2020-04-08;0.230802704;2
2020-04-09;0.221459009;2
2020-04-10;0.2373381;2
2020-04-11;0.273408558;2
2020-04-12;0.263830413;2
2020-04-13;0.275400537;2
2020-04-14;0.279524439;2
2020-04-15;0.259842089;2
2020-04-16;0.198539303;2
2020-04-17;0.2611744;2
2020-04-18;0.21178808;2
2020-04-19;0.315612107;2
2020-04-20;0.123675509;2
2020-04-21;0.290735879;2
2020-04-22;0.374746877;2
2020-04-23;0.379645748;2
2020-04-24;15.00441719;2
2020-04-25;0.898092634;2
2020-04-26;0.922214283;2
2020-04-27;0.94729735;2
2020-04-28;0.789517762;2
2020-04-29;0.90945565;2
2020-04-30;1.026104568;2
2020-05-01;0.780823316;2
2020-05-02;0.73267512;2
2020-05-03;0.711886291;2
2020-05-04;0.800244081;2
2020-05-05;0.7633112;2
2020-05-06;0.578314214;2
2020-05-07;0.731831134;2
2020-05-08;0.843050041;2
2020-05-09;0.785930565;2
2020-05-10;1.039721526;2
2020-05-11;0.845394422;2
2020-05-12;0.855101522;2
2020-05-13;0.971438164;2
2020-05-14;1.617636894;2
2020-05-15;1.588212688;2
2020-05-16;1.314554762;2
2020-05-17;1.563964081;2
2020-05-18;1.554512577;2
2020-05-19;1.25764752;2
2020-05-20;1.317737927;2
2020-05-21;1.595307719;2
2020-05-22;1.94183092;2
2020-05-23;1.478852378;2
2020-05-24;1.610637796;2
2020-05-25;1.421724452;2
2020-05-26;5.888911077;2
2020-05-27;8.294185623;2
2020-05-28;11.07977419;2
2020-05-29;14.93245418;2
2020-05-30;6.336176162;2
2020-05-31;6.315445685;2
2020-06-01;5.959866531;2
2020-06-02;9.115879059;2
2020-06-03;6.419190591;2
2020-06-04;6.835510134;2
2020-06-05;6.870176364;2
2020-06-06;9.250483677;2
2020-06-07;8.908993946;2
2020-06-08;3.804969208;2
2020-06-09;8.108845714;2
2020-06-10;9.962974952;2
2020-06-11;8.726076472;2
2020-06-12;6.903054511;2
2020-06-13;6.772633323;2
2020-06-14;3.043770639;2
2020-06-15;7.920718438;2
2020-06-16;2.485017092;2
2020-06-17;1.506939619;2
2020-06-18;3.053217818;2
2020-06-19;6.999923755;2
2020-06-20;3.776057436;2
2020-06-21;3.719720256;2
2020-06-22;3.20844063;2
2020-06-23;3.137036239;2
2020-06-24;2.286230321;2
2020-06-25;3.031414646;2
2020-06-26;2.601813597;2
2020-06-27;3.226531227;2
2020-06-28;4.454762697;2
2020-06-29;3.539946159;2
2020-06-30;2.105423758;2
2020-07-01;3.45863519;2
2020-07-02;1.497064894;2
2020-07-03;2.30041944;2
2020-07-04;4.147948739;2
2020-07-05;2.83892599;2
2020-07-06;4.683248679;2
2020-07-07;5.896743769;2
2020-07-08;6.680524895;2
2020-07-09;10.77288448;2
2020-07-10;9.374828054;2
2020-07-11;10.98592692;2
2020-07-12;17.46881971;2
2020-07-13;20.74140658;2
2020-07-14;22.31583778;2
2020-07-15;24.92829071;2
2020-07-16;13.70333218;2
2020-07-17;27.63723621;2
2020-07-18;33.81116771;2
2020-07-19;18.58686808;2
2020-07-20;26.97251889;2
2020-07-21;33.4766059;2
2020-07-22;42.31779643;2
2020-07-23;32.02785068;2
2020-07-24;30.92068591;2
2020-07-25;37.15283957;2
2020-07-26;30.38836161;2
2020-07-27;33.43320322;2
2020-07-28;18.54873428;2
2020-07-29;12.72469446;2
2020-07-30;38.66270414;2
2020-07-31;45.77486226;2
2020-08-01;60.06930075;2
2020-08-02;22.8722268;2
2020-08-03;39.48278392;2
2020-08-04;31.68404955;2
2020-08-05;32.0663356;2
2020-08-21;8.998523821;2
2020-08-22;8.028003828;2
2020-08-23;7.191202172;2
2020-08-24;3.10056886;2
2020-08-25;4.017273886;2
2020-08-26;1.514765278;2
2020-08-27;7.316400392;2
2020-08-28;12.23825091;2
2020-08-29;8.61013042;2
2020-08-30;9.187665118;2
2020-08-31;11.17985136;2
2020-09-01;9.595792363;2
2020-09-02;29.83444657;2
2020-09-03;13.23140015;2
2020-09-04;13.3579893;2
2020-09-05;14.00948013;2
2020-09-06;11.33475555;2
2020-09-07;11.25489305;2
2020-09-08;5.572073788;2
2020-09-09;0.664781114;2
2020-09-10;0.591152964;2
2020-09-11;0.634314461;2
2020-09-12;0.61940281;2
2020-09-13;1.546222057;2
2020-09-14;2.840419947;2
2020-09-15;1.676152621;2
2020-09-16;1.544683721;2
2020-09-17;1.069134962;2
2020-09-18;1.349466238;2
2020-09-19;0.49081749;2
2020-09-20;0.432361497;2
2020-09-21;0.376366344;2
2020-09-22;0.38312637;2
2020-09-23;0.266490174;2
2020-09-24;0.093359681;2
2020-09-25;0.040098703;2
